paper_id,title,authors,year,domain,venue,abstract,citations,doi,url,pdf_url
P001,Attention Is All You Need,Ashish Vaswani; Noam Shazeer; Niki Parmar; Jakob Uszkoreit,2017,Natural Language Processing,NeurIPS,Transformer architecture introduced self attention and replaced recurrence for many sequence tasks.,125000,10.48550/arXiv.1706.03762,https://arxiv.org/abs/1706.03762,https://arxiv.org/pdf/1706.03762
P002,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Jacob Devlin; Ming-Wei Chang; Kenton Lee; Kristina Toutanova,2018,Natural Language Processing,NAACL,Pretrained bidirectional transformer representations improve language understanding across many NLP tasks.,90000,10.18653/v1/N19-1423,https://aclanthology.org/N19-1423/,https://aclanthology.org/N19-1423.pdf
P003,Language Models are Few-Shot Learners,Tom Brown; Benjamin Mann; Nick Ryder; Melanie Subbiah,2020,Artificial Intelligence,NeurIPS,Large language models can perform many tasks from natural language prompts with few examples.,78000,10.48550/arXiv.2005.14165,https://arxiv.org/abs/2005.14165,https://arxiv.org/pdf/2005.14165
P004,Deep Residual Learning for Image Recognition,Kaiming He; Xiangyu Zhang; Shaoqing Ren; Jian Sun,2015,Computer Vision,CVPR,Residual learning enables very deep neural networks and strong image recognition performance.,145000,10.1109/CVPR.2016.90,https://arxiv.org/abs/1512.03385,https://arxiv.org/pdf/1512.03385
P005,Generative Adversarial Nets,Ian Goodfellow; Jean Pouget-Abadie; Mehdi Mirza; Yoshua Bengio,2014,Generative AI,NeurIPS,A framework trains two neural networks in competition to generate realistic synthetic samples.,70000,10.48550/arXiv.1406.2661,https://arxiv.org/abs/1406.2661,https://arxiv.org/pdf/1406.2661
P006,Diffusion Models Beat GANs on Image Synthesis,Prafulla Dhariwal; Alex Nichol,2021,Generative AI,NeurIPS,Denoising diffusion probabilistic models achieve strong image synthesis quality using classifier guidance.,18000,10.48550/arXiv.2105.05233,https://arxiv.org/abs/2105.05233,https://arxiv.org/pdf/2105.05233
P007,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,Alexey Dosovitskiy; Lucas Beyer; Alexander Kolesnikov,2020,Computer Vision,ICLR,Vision transformers apply transformer architectures directly to image patches and scale effectively.,52000,10.48550/arXiv.2010.11929,https://arxiv.org/abs/2010.11929,https://arxiv.org/pdf/2010.11929
P008,Adam: A Method for Stochastic Optimization,Diederik Kingma; Jimmy Ba,2014,Machine Learning,ICLR,Adaptive moment estimation provides an efficient optimization algorithm for stochastic objectives.,110000,10.48550/arXiv.1412.6980,https://arxiv.org/abs/1412.6980,https://arxiv.org/pdf/1412.6980
P009,Random Forests,Leo Breiman,2001,Machine Learning,Mach Learn,Random forests combine randomized decision trees to improve prediction accuracy and robustness.,150000,10.1023/A:1010933404324,https://link.springer.com/article/10.1023/A:1010933404324,
P010,MapReduce: Simplified Data Processing on Large Clusters,Jeffrey Dean; Sanjay Ghemawat,2004,Data Science,OSDI,MapReduce provides a scalable model for processing very large datasets across clusters of commodity machines.,42000,10.5555/1298432.1298455,https://research.google/pubs/mapreduce-simplified-data-processing-on-large-clusters/,
