venue,paper_count,total_citations
AAAI 2024,260,0
NeurIPS,7,353000
ICLR,5,225300
ACM Computing Surveys,3,31400
CVPR,2,187000
AI Review,2,10400
arXiv,2,22100
AI Research,1,2800
AAAI,1,6500
AI Ethics,1,8800
Computer Vision and Image Understanding,1,3200
Communications of the ACM,1,30000
AISTATS,1,35000
Data Mining,1,4100
IEEE Access,1,7300
IEEE Security & Privacy,1,5600
Environmental Modelling,1,4200
ICML,1,2900
IEEE TNNLS,1,12000
IEEE TITS,1,12500
NAACL,1,90000
Mach Learn,1,150000
Nature Medicine,1,30000
OSDI,1,42000
Proceedings IEEE,1,19000
Semantic Web,1,13000
