search URL:,https://patents.google.com/?q=%28Artificial+Intelligence%29&oq=Artificial+Intelligence,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5721827-A,System for electrically distributing personalized information ,James Logan,"James Logan, Daniel F. Goessling, Charles G. Call",1996-10-02,1996-10-02,1998-02-24,1998-02-24,https://patents.google.com/patent/US5721827A/en,https://patentimages.storage.googleapis.com/f3/0b/fa/779a7f0f95866a/US5721827-drawings-page-2.png
US-4864618-A,Automated transaction system with modular printhead having print authentication feature ,"Wright Technologies, L.P.","Christopher B. Wright, Stephen Bristow",1986-11-26,1988-10-17,1989-09-05,1989-09-05,https://patents.google.com/patent/US4864618A/en,https://patentimages.storage.googleapis.com/be/c2/99/db10a6e7b71513/US4864618-drawings-page-2.png
US-5862260-A,Methods for surveying dissemination of proprietary empirical data ,Digimarc Corporation,Geoffrey B. Rhoads,1993-11-18,1996-05-16,1999-01-19,1999-01-19,https://patents.google.com/patent/US5862260A/en,https://patentimages.storage.googleapis.com/5a/c4/3f/3e443607729ff8/US5862260-drawings-page-6.png
US-6026388-A,User interface and other enhancements for natural language information retrieval system and method ,"Textwise, Llc","Elizabeth D. Liddy, Woojin Paik, Mary E. McKenna, Michael L. Weiner, Edmund S. Yu, Theodore G. Diamond, Bhaskaran Balakrishnan, David L. Snyder",1995-08-16,1996-08-14,2000-02-15,2000-02-15,https://patents.google.com/patent/US6026388A/en,https://patentimages.storage.googleapis.com/9b/bd/e8/88b7ad1a0d10cd/US6026388-drawings-page-23.png
US-6640145-B2,Media recording device with packet data interface ,"Steven Hoffberg, Linda Hoffberg-Borghesani","Steven Hoffberg, Linda Hoffberg-Borghesani",1999-02-01,2002-06-03,2003-10-28,2003-10-28,https://patents.google.com/patent/US6640145B2/en,https://patentimages.storage.googleapis.com/10/12/49/98ffaa11866ed7/US06640145-20031028-D00000.png
US-5640002-A,Portable RF ID tag and barcode reader ,"Ruppert; Jonathan Paul, Fish; Ronald Craig, Yap; Thomas Allan, Ames; Ronald Merle","Jonathan Paul Ruppert, Ronald Craig Fish, Thomas Allan Yap, Ronald Merle Ames",1995-08-15,1995-08-15,1997-06-17,1997-06-17,https://patents.google.com/patent/US5640002A/en,https://patentimages.storage.googleapis.com/f5/db/1e/7b0de4b545402f/US5640002-drawings-page-2.png
US-5629981-A,Information management and security system ,Texas Instruments Incorporated,Virupax M. Nerlikar,1994-07-29,1994-07-29,1997-05-13,1997-05-13,https://patents.google.com/patent/US5629981A/en,https://patentimages.storage.googleapis.com/1b/f5/66/554ff7177949e6/US5629981-drawings-page-2.png
US-5494043-A,Arterial sensor ,"Vital Insite, Inc.","Martin O'Sullivan, Lawrence W. Brendlen, Jr., Donald Q. Dong, Jeffrey M. Moser, Kenneth H. Mollenauer, Kenneth C. Kitlas, William J. Kaspari",1993-05-04,1993-05-04,1996-02-27,1996-02-27,https://patents.google.com/patent/US5494043A/en,https://patentimages.storage.googleapis.com/2e/2b/76/5c02a5239e0480/US5494043-drawings-page-2.png
US-6675159-B1,Concept-based search and retrieval system ,Science Applic Int Corp,"Albert Deirchow Lin, Patrick John Graydon, Justin Eliot Busch, Maureen Caudill, Nancy Ann Chinchor, Jason Chun-Ming Tseng, Lei Wang, Bryner Sabido Pancho, Kenneth Scott Klein, Yuri Adrian Tijerino",2000-07-27,2000-07-27,2004-01-06,2004-01-06,https://patents.google.com/patent/US6675159B1/en,https://patentimages.storage.googleapis.com/75/0d/7e/00d2a143d77b87/US06675159-20040106-D00000.png
US-5410344-A,Apparatus and method of selecting video programs based on viewers' preferences ,"Arrowsmith Technologies, Inc.","Gordon T. Graves, Brendan M. O'Connor, Alva C. Barker",1993-09-22,1993-09-22,1995-04-25,1995-04-25,https://patents.google.com/patent/US5410344A/en,https://patentimages.storage.googleapis.com/43/d5/c6/a5230bc8133995/US5410344-drawings-page-2.png
US-7399277-B2,System for monitoring physiological characteristics ,"Medtronic Minimed, Inc.","Frank Saidara, John Joseph Mastrototaro, Charles Vallet Tolle, John C. Mueller, Jr., Jeff B. Sanders, Edward S. Nielsen",2001-12-27,2004-06-03,2008-07-15,2008-07-15,https://patents.google.com/patent/US7399277B2/en,https://patentimages.storage.googleapis.com/3d/f5/3b/78b2117df048d1/US07399277-20080715-D00001.png
