Title,Authors,Year,Citation_Count,Abstract,Keywords,Concepts,DOI
"Attention Is All You Need","Ashish Vaswani, Noam Shazeer, Niki Parmar",2017,95000,"We propose a new simple network architecture the Transformer based solely on attention mechanisms dispensing with recurrence and convolutions entirely.","Transformer,Attention Mechanism,Deep Learning,NLP","Neural Networks,Sequence Modeling",10.5555/3295222.3295349
"BERT: Pre-training of Deep Bidirectional Transformers","Jacob Devlin, Ming-Wei Chang, Kenton Lee",2018,75000,"We introduce BERT a new language representation model designed to pre-train deep bidirectional representations.","BERT,NLP,Pre-training,Language Model","Transfer Learning,NLP",10.18653/v1/N19-1423
"Deep Residual Learning for Image Recognition","Kaiming He, Xiangyu Zhang, Shaoqing Ren",2018,120000,"We present a residual learning framework to ease the training of networks that are substantially deeper.","ResNet,Deep Learning,Image Recognition,CNN","Computer Vision,Neural Networks",10.1109/CVPR.2016.90
"Generative Adversarial Networks","Ian Goodfellow, Jean Pouget-Abadie",2018,48000,"We propose a new framework for estimating generative models via an adversarial process.","GAN,Generative Models,Deep Learning,Adversarial Training","Generative AI,Neural Networks",10.1145/3422622
"YOLOv3: An Incremental Improvement","Joseph Redmon, Ali Farhadi",2018,22000,"We present some updates to YOLO making it better and faster for real-time object detection.","YOLO,Object Detection,Computer Vision,Real-time","Object Detection,Deep Learning",10.48550/arXiv.1804.02767
"Federated Learning for Mobile Keyboard Prediction","Andrew Hard, Kanishka Rao",2018,3200,"We apply federated learning to train a next-word prediction model for mobile keyboards.","Federated Learning,Privacy,Mobile Computing,NLP","Distributed Learning,Privacy",10.48550/arXiv.1811.03604
"Bitcoin: A Peer-to-Peer Electronic Cash System Review","Ahmed Ibrahim, Rasha Elbarawy",2018,450,"A comprehensive review of Bitcoin architecture and its implications for digital currency systems.","Bitcoin,Blockchain,Cryptocurrency,Distributed Ledger","Blockchain,FinTech",10.1109/ACCESS.2018.2842161
"A Survey on Cyber Security Threats","Sachin Kumar, Janet Vimala",2018,2800,"This paper surveys the current landscape of cybersecurity threats and modern defense mechanisms.","Cybersecurity,Threat Detection,Network Security,Malware","Security,Networks",10.1109/COMST.2018.2847722
"Big Data Analytics: A Survey","Ashwin Belle, Raghav Thiagarajan",2018,3500,"We survey the state of big data analytics techniques and their applications across industries.","Big Data,Data Analytics,Machine Learning,Data Mining","Data Science,Analytics",10.1186/s40537-018-0132-3
"Blockchain Technology Applications in Healthcare","Asaph Azaria, Ariel Ekblaw",2018,1900,"This paper explores blockchain-based solutions for secure healthcare data management.","Blockchain,Healthcare,Data Security,EHR","Blockchain,Healthcare Tech",10.1109/MIC.2018.112121613
"EfficientNet: Rethinking Model Scaling","Mingxing Tan, Quoc V. Le",2019,15000,"We propose a new scaling method that uniformly scales all dimensions of depth width and resolution.","EfficientNet,Model Scaling,Deep Learning,CNN","Neural Architecture,Computer Vision",10.48550/arXiv.1905.11946
"XLNet: Generalized Autoregressive Pretraining","Zhilin Yang, Zihang Dai",2019,8500,"We propose XLNet a generalized autoregressive pretraining method that overcomes limitations of BERT.","XLNet,Language Model,Pre-training,NLP","Transfer Learning,NLP",10.48550/arXiv.1906.08237
"RoBERTa: A Robustly Optimized BERT Pretraining Approach","Yinhan Liu, Myle Ott",2019,12000,"We present a replication study of BERT pretraining that carefully measures the impact of key hyperparameters.","RoBERTa,BERT,Pre-training,NLP","Language Models,NLP",10.48550/arXiv.1907.11692
"Mask R-CNN for Instance Segmentation","Kaiming He, Georgia Gkioxari",2019,18000,"We present Mask R-CNN a conceptually simple flexible and general framework for object instance segmentation.","Mask R-CNN,Instance Segmentation,Computer Vision,Object Detection","Segmentation,Deep Learning",10.1109/ICCV.2017.322
"Deep Learning for Anomaly Detection: A Survey","Raghavendra Chalapathy, Sanjay Chawla",2019,4200,"We survey deep learning-based anomaly detection techniques for network intrusion detection.","Anomaly Detection,Deep Learning,Cybersecurity,IDS","Security,Neural Networks",10.1145/3439950
"Blockchain Consensus Mechanisms: A Survey","Wenbo Wang, Dinh Thai Hoang",2019,2100,"This paper provides a comprehensive survey of consensus mechanisms used in blockchain systems.","Blockchain,Consensus,Distributed Systems,Smart Contracts","Blockchain,Algorithms",10.1109/ACCESS.2019.2897141
