openalex_award_id,title,funder_name,award_amount,linked_works_count
https://openalex.org/G644584481,ARTIFICIAL INTELLIGENCE TECHOLOGIES,U.S. Department of Defense,25000.0,0
https://openalex.org/G8979334957,Inclusive Artificial Intelligence,Erasmus+,127635.0,0
https://openalex.org/G1924097639,Artificial Intelligence,Natural Sciences and Engineering Research Council of Canada,17300.0,0
https://openalex.org/G639762956,Artificial Intelligence,National Science Foundation,,0
https://openalex.org/G6971427853,Artificial Intelligence,National Science Foundation,,0
https://openalex.org/G7283277913,Artificial Intelligence,National Science Foundation,,0
https://openalex.org/G633311483,Artificial intelligence.,Natural Sciences and Engineering Research Council of Canada,17300.0,0
https://openalex.org/G3453535745,Trustworthy Artificial Intelligence,Natural Sciences and Engineering Research Council of Canada,120000.0,0
https://openalex.org/G515764403,Medical Artificial Intelligence,Canadian Institutes of Health Research,1400000.0,0
https://openalex.org/G1272794250,Centre for Data Science and Artificial Intelligence: Multidisciplinary artificial intelligence laboratory,International Development Research Centre,422900.0,0
https://openalex.org/G7174297050,Centre for Data Science and Artificial Intelligence: Multidisciplinary artificial intelligence laboratory,International Development Research Centre,577100.0,0
https://openalex.org/G3277526563,Charting Artificial Intelligence,Agence Nationale de la Recherche,293251.09,0
https://openalex.org/G1426329243,Innovators' Artificial Intelligence Launchpad,Erasmus+,60000.0,0
https://openalex.org/G2785182107,Green Artificial Intelligence,Agence Nationale de la Recherche,401544.0,6
https://openalex.org/G2638740234,ARTIFICIAL INTELLIGENCE QUANTIFIED (AIQ),U.S. Department of Defense,1698214.0,0
https://openalex.org/G5499072100,DEEPLY EXPLAINABLE ARTIFICIAL INTELLIGENCE,U.S. Department of Defense,7548174.64,0
https://openalex.org/G8841542724,Artificial Intelligence for Health,VINNOVA,500000.0,0
https://openalex.org/G5239532408,Human-Centered Artificial Intelligence,Austrian Science Fund,1005150.0,62
https://openalex.org/G8582932476,Artificial Intelligence for all,Erasmus+,195495.0,0
https://openalex.org/G3914613315,Artificial Intelligence Reshapes EDucation,Erasmus+,250000.0,0
https://openalex.org/G6036077156,Around the Artificial intelligence,Erasmus+,38415.0,0
https://openalex.org/G4866827594,Trento Artificial Intelligence Laboratory,Erasmus+,41497.5,0
https://openalex.org/G6449174250,Artificial intelligence in cybersecurity,Eesti Teadusagentuur,916920.0,1
https://openalex.org/G2917456858,Artificial Intelligence (AI) Summit,U.S. Food and Drug Administration,50000.0,0
https://openalex.org/G4298897503,Artificial Intelligence (AI) Summit,U.S. Food and Drug Administration,50000.0,0
https://openalex.org/G6285398448,Artificial Intelligence Meeting Scheduler,Innovate UK,78057.0,0
https://openalex.org/G8202589810,Artificial Intelligence (AI) Summit,U.S. Food and Drug Administration,50000.0,0
https://openalex.org/G510732750,Applied Artificial Intelligence Laboratory,Fundação para a Ciência e a Tecnologia,285000.0,60
https://openalex.org/G8519435835,Applied Artificial Intelligence Laboratory,Fundação para a Ciência e a Tecnologia,165000.0,97
https://openalex.org/G8777088153,Artificial Intelligence in Marketing,"Ministry of Science and Technology, Taiwan",5233000.0,5
https://openalex.org/G497127911,Center for Artificial Intelligence,Fundação de Amparo à Pesquisa do Estado de São Paulo,,100
https://openalex.org/G406630370,Artificial Intelligence for Health,Canadian Institutes of Health Research,530000.0,0
https://openalex.org/G1648927131,Artificial Intelligence in Bioscience,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,,0
https://openalex.org/G3008001860,Responsible artificial intelligence lab,International Development Research Centre,550800.0,0
https://openalex.org/G7518490959,Artificial Intelligence for Care,Agence Nationale de la Recherche,900000.0,36
https://openalex.org/G5392220122,Expectational Visual Artificial Intelligence,H2020 European Research Council,1499562.0,0
https://openalex.org/G438882881,Trustworthy Artificial Intelligence,Australian Research Council,3416360.0,9
https://openalex.org/G5856701639,Teaching Artificial Intelligence,Erasmus+,400000.0,0
https://openalex.org/G67456712,Artificial Intelligence Applications,"Ministry of Science and Technology, Taiwan",503000.0,0
https://openalex.org/G7635477404,Bilateral Artificial Intelligence,Austrian Science Fund,19760512.0,100
https://openalex.org/G80689357,Artificial Intelligence Storytelling,Social Sciences and Humanities Research Council of Canada,261283.0,0
https://openalex.org/G3371066105,Artificial Intelligence t.b.v. bridge,ZonMw,,0
https://openalex.org/G151430644,Artificial Intelligence Update,Agentschap voor Innovatie door Wetenschap en Technologie,,0
https://openalex.org/G4292222460,Artificial Intelligence By Life,Innovate UK,49852.0,0
https://openalex.org/G6182172586,ITR---Reinventing Artificial Intelligence,National Science Foundation,350000.0,4
https://openalex.org/G7418105859,Artificial Intelligence Fashion Stylist,Innovate UK,115291.0,0
https://openalex.org/G1930370730,Social Explainable Artificial Intelligence,Eesti Teadusagentuur,99724.0,0
https://openalex.org/G80692147,Artificial intelligence in education,Vlaamse regering,,0
https://openalex.org/G7201223071,Socially Embodied Artificial Intelligence,Vetenskapsrådet,4000000.0,5
https://openalex.org/G353594923,Applied Artificial Intelligence Laboratory,Fundação para a Ciência e a Tecnologia,577829.2,9
https://openalex.org/G7200795588,Generating Artificial Intelligence Talent,National Science Foundation,474038.0,0
https://openalex.org/G4071123404,Applied Artificial Intelligence Laboratory,Fundação para a Ciência e a Tecnologia,43855.64,6
https://openalex.org/G2831296418,Artificial intelligence for education,International Development Research Centre,854400.87,0
https://openalex.org/G777257747,Artificial intelligence for education,International Development Research Centre,6750.0,0
https://openalex.org/G8585819956,Artificial Intelligence & Optics LaboratorY,Agence Nationale de la Recherche,362093.38,2
https://openalex.org/G1307576235,Low Resource Artificial Intelligence,HORIZON EUROPE Widening participation and spreading excellence,13999950.0,0
https://openalex.org/G2435000432,Artificial Intelligence for clerMont,Agence Nationale de la Recherche,444444.44,6
https://openalex.org/G260610314,Low Resource Artificial Intelligence,European Commission,13999950.0,23
https://openalex.org/G437399167,Artificial Intelligence Data Analysis,H2020 LEIT Space,1499690.0,1
https://openalex.org/G66869072,Artificial Intelligence beyond quality,European Commission,50000.0,0
https://openalex.org/G4051905275,Norwegian Artificial Intelligence Cloud,Norges Forskningsråd,48999999.0,0
https://openalex.org/G2717720702,Artificial Intelligence RNA-seq,H2020 LEIT Information and Communication Technologies,50000.0,0
https://openalex.org/G4457988006,Artificial Intelligence RNA-seq,European Commission,50000.0,0
https://openalex.org/G6814690871,Artificial Intelligence without Bias,European Commission,3987130.87,63
https://openalex.org/G8084396017,Artificial Intelligence without Bias,H2020 Marie Skłodowska-Curie Actions,3987130.8,13
https://openalex.org/G8903488963,"Artificial Intelligence, Real People",VINNOVA,600000.0,0
https://openalex.org/G8985102260,Artificial Intelligence Data Analysis,European Commission,1499690.0,45
https://openalex.org/G982831038,Artificial Intelligence beyond quality,H2020 Innovation In SMEs,50000.0,0
https://openalex.org/G2549633817,Research Program Artificial Intelligence - 2019,Vlaamse regering,,0
https://openalex.org/G8928733405,Research Program Artificial Intelligence - 2020,Vlaamse regering,,0
https://openalex.org/G7845066601,Data-Intensive Artificial Intelligence,Agence Nationale de la Recherche,720000.0,0
https://openalex.org/G3048621659,WORKSHOP ON TRUSTED ARTIFICIAL INTELLIGENCE,U.S. Department of Defense,10425.0,0
https://openalex.org/G4565555132,ARTIFICIAL INTELLIGENCE QUANTIFIED (AIQ) PROGRAM,U.S. Department of Defense,502616.0,0
https://openalex.org/G7273891831,ARTIFICIAL INTELLIGENCE QUANTIFIED (AIQ) PROGRAM,U.S. Department of Defense,1161492.0,0
https://openalex.org/G2293286636,DAM INSPECTION ARTIFICIAL INTELLIGENCE SYSTEM,Office of Science,199999.0,0
https://openalex.org/G2475747075,ARTIFICIAL INTELLIGENCE QUANTIFIED (AIQ) PROGRAM,U.S. Department of Defense,400000.0,0
https://openalex.org/G6407250815,DAM INSPECTION ARTIFICIAL INTELLIGENCE SYSTEM,U.S. Department of Energy,199999.0,0
https://openalex.org/G656011626,ALGORITHMIC DIVERGENCE IN ARTIFICIAL INTELLIGENCE,U.S. Department of Defense,199624.0,0
https://openalex.org/G8343373260,Parameterized Analysis in Artificial Intelligence,Austrian Science Fund,1140060.0,100
https://openalex.org/G4301922637,Copyright Challenges of Artificial Intelligence,"Ministry of Science and Technology, Taiwan",368000.0,0
https://openalex.org/G4086781277,Artificial intelligence and education,Nuffield Foundation,,0
https://openalex.org/G878381671,Humanities Perspectives on Artificial Intelligence,National Endowment for the Humanities,186147.0,0
https://openalex.org/G5751001228,Professional knowledge and Artificial Intelligence,"Forskningsrådet om Hälsa, Arbetsliv och Välfärd",2000000.0,1
https://openalex.org/G6869185441,Artificial Intelligence for Environmental Learning,Erasmus+,250000.0,0
https://openalex.org/G8284451915,ChEMoinformaticsplus - Artificial Intelligence in Chemistry,Erasmus+,4473600.0,0
https://openalex.org/G8133238366,ARISA - Artificial Intelligence Skills Alliance,Erasmus+,3464356.0,0
https://openalex.org/G6837960250,Physics-informed Spatial Artificial Intelligence,HORIZON EUROPE European Research Council,2487852.0,0
https://openalex.org/G7693392618,Virus Machines and Artificial Intelligence,HORIZON EUROPE Marie Sklodowska-Curie Actions,98923.95,1
https://openalex.org/G6046163532,Artificial Intelligence for European Integration,Erasmus+,100000.0,0
https://openalex.org/G5696078662,College Remediation Using Artificial Intelligence,Institute of Education Sciences,100000.0,0
https://openalex.org/G5489670787,Fostering Artificial Intelligence at School,Erasmus+,216464.0,0
https://openalex.org/G5060625172,Artificial Intelligence for Customer Service,European Commission,50000.0,0
https://openalex.org/G6450541304,Creation of Artificial Intelligence Laboratory,National Science Foundation,54620.0,0
https://openalex.org/G5394677772,AIM - Artificial Intelligence for MSMEs,Erasmus+,250000.0,0
https://openalex.org/G7556505264,Artificial Intelligence in Apprenticeship Mentoring,Erasmus+,250000.0,0
https://openalex.org/G8362127029,Artificial Intelligence for Customer Service,H2020 Innovation In SMEs,50000.0,0
https://openalex.org/G6791947685,Artificial intelligence for building websites,Ministerstvo Průmyslu a Obchodu,0.0,0
https://openalex.org/G8525457526,Applying Generative Artificial Intelligence and Explainable Artificial Intelligence to China Studies,National Science and Technology Council,831000.0,0
https://openalex.org/G6727436617,Artificial Intelligence in Digital Culture,National Endowment for the Humanities,32993.86,0
https://openalex.org/G6799374911,Artificial intelligence for cultural heritage,Vlaamse regering,,0
https://openalex.org/G3684569326,The Nature of Artificial Intelligence,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,200000.0,0
https://openalex.org/G5799122978,Artificial Intelligence Course Development Project,National Science Foundation,31115.0,0
https://openalex.org/G62983488,Artificial Intelligence for Computer Games,VINNOVA,300000.0,0
https://openalex.org/G1887975770,Artificial intelligence for qubit readout,Engineering and Physical Sciences Research Council,0.0,0
https://openalex.org/G2354848991,Artificial Intelligence for Digitizing Industry,European Commission,8763190.67,48
https://openalex.org/G886864533,Artificial Intelligence for Digitizing Industry,H2020 LEIT Information and Communication Technologies,8763191.0,0
https://openalex.org/G2563870226,Artificial Intelligence for Lyrics Comprehension,H2020 European Research Council,150000.0,1
https://openalex.org/G1267630824,Research Programme Artificial Intelligence - 2021,Vlaamse regering,,0
https://openalex.org/G5851686229,Research Programme Artificial Intelligence - 2022,Vlaamse regering,,0
https://openalex.org/G3649841187,Melanoma Staging by Artificial Intelligence,Melanoma Research Alliance,,0
https://openalex.org/G7729190884,Research Programme Artificial Intelligence - 2023,Vlaamse regering,,0
https://openalex.org/G5863613656,Melanoma Staging by Artificial Intelligence,Melanoma Research Alliance,,3
https://openalex.org/G5002781076,Artificial Intelligence of Medical Things,Hrvatska Zaklada za Znanost,199000.0,0
https://openalex.org/G7428793199,Artificial Intelligence for the Sciences,H2020 Marie Skłodowska-Curie Actions,2115360.0,2
https://openalex.org/G1743413389,Artificial Intelligence for Smart Automation,Eesti Teadusagentuur,916920.0,4
https://openalex.org/G6371824193,National Applied Artificial Intelligence Consortium,National Science Foundation,2833147.0,0
https://openalex.org/G7226374309,Artificial Intelligence for the Sciences,European Commission,2115360.0,32
https://openalex.org/G8454656690,Reinforcement learning and artificial intelligence,Natural Sciences and Engineering Research Council of Canada,38000.0,0
https://openalex.org/G1045782842,Artificial Intelligence for All,Agence Nationale de la Recherche,600000.0,46
https://openalex.org/G1203962860,CCR Artificial Intelligence Resource,National Institutes of Health,2553119.0,9
