patent_number,title,assignee,filing_date,technology_domain
US-11800101-B2,System and Method for Automated AI Grant Matching and Scoring,DeepTech Innovation Labs Inc.,2023-08-14,G06N20/00
US-11800205-B2,Distributed Vector Database System for Real-Time Patent Prior Art Search,VectorAI Systems LLC,2023-09-02,G06F16/33
US-11800319-B2,Neural Network Pipeline for Technology Readiness Level Estimation,University Tech Transfer Inc.,2023-10-19,G06Q10/06
US-11800441-B2,Autonomous Multi-Agent System for Research Trend Discovery,NextGen AI Ventures Corp,2023-11-05,G06N3/00
US-11800550-B2,Graph-Based University Enterprise Partnership Engine,BioTech Research Network LLC,2023-12-01,G06Q50/08
US-11800612-B2,Quantum-Enhanced Bibliometric Analysis Method,Quantum Innovation Inc.,2024-01-11,G06N10/00
US-11800723-B2,Explainable Intellectual Property Valuation Engine,Capital AI Analytics Corp,2024-02-14,G06Q40/06
US-11800889-B2,Secure Federated Learning Architecture for Inter-University Clinical Data,MedTech Cloud Solutions Inc.,2024-03-20,G06F21/62
US-11800990-B2,Neural Transformer Model for Patent Claim Expansion,IntellectTech Solutions Corp,2024-04-12,G06F17/00
US-11801001-B2,Predictive Patent Infringement Detection via Graph Embeddings,IP Guard LLC,2024-05-25,G06N20/20
US-11801112-B2,Autonomous Technology Landscaping and Market Prediction System,Future Analytics LLC,2024-06-18,G06Q10/04
US-11801223-B2,Generative Language Model for Automatic Scientific Abstract Synthesis,OpenSci Labs Inc.,2024-07-09,G06F40/56
US-11801334-B2,Decentralized Blockchain Registry for Academic Peer Review Verification,TrustAcademic Org,2024-08-22,H04L9/32
US-11801445-B2,Real-time Scientific Trend Analytics Dashboard,TrendSpotter AI LLC,2024-09-30,G06F16/24
US-11801556-B2,Vector-based Semantic Alignment of Scientific Grants,AcademicMatch Corp,2024-10-15,G06N5/02
