project_title,project_number,organization,principal_investigator,fiscal_year,award_amount
Evaluating Whether a Concurrent Retinoid X Receptor Agonist can Enhance the Efficacy of the HER2-IGFPB2-IGF1R Vaccine in Eliminating Existing Ductal Carcinoma in Situ and Preventing Progression of Inv,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Clinton   Grubbs,2018,930464.0
"Project 2 - Imaging of Brain Connrectivity, Structure and Function",,UNIVERSITY OF SOUTHERN CALIFORNIA,Ioannis   Pappas ,2025,957843.0
"Transplantation of Adult, Tissue-Specific RPE Stem Cells for Non-exudative Age-related macular degeneration (AMD)",,UNIVERSITY OF MARYLAND BALTIMORE,Jeffrey    Stern,2020,100000.0
SURMOUNTING WITHDRAWAL TO INITIATE FAST TREATMENT WITH NALTREXONE (CTN-0097). DSC5 CONTRACT. 09/20/2019 - 11/23/2021. N01DA-19-2250.,,"THE EMMES COMPANY, LLC",PAUL   VANVELDHUISEN,2019,1251569.0
"NIDA DATA, STATISTICS, AND CLINICAL TRIAL SUPPORT CENTER MANAGEMENT AND SUPPORT. 03/01/2020 - 02/28/2021. N01DA-19-2250. TASK ORDER 75N95020F00001 (TO",,"THE EMMES COMPANY, LLC",Paul   Vanveldhuisen,2021,549285.0
"NIDA DATA, STATISTICS, AND CLINICAL TRIAL SUPPORT CENTER MANAGEMENT AND SUPPORT. 03/01/2020 - 02/28/2021. N01DA-19-2250. TASK ORDER 75N95020F00001 (TO",,"THE EMMES COMPANY, LLC",Paul   Vanveldhuisen,2020,2113098.0
HIV VACCINE PRODUCTION,,UNIVERSITY OF MICHIGAN AT ANN ARBOR,ROBERT  GERARD,1999,200000.0
PROMOTING SCHOOL READINESS WITH PRESCHOOL CURRICULA: A MIXED-METHODS STUDY ,,UNIVERSITY OF CALIFORNIA-IRVINE,TUTRANG  NGUYEN,2016,25000.0
OPERATE THE DTP BIOLOGICAL DATA PROCESSING SYSTEM,,VALUE SYSTEMS ENGINEERING,WILLIAM  009 MILLER,1985,959999.0
VIBRIO SPECIES IN MARKET LEVEL SEAFOOD AND COASTAL WATERS IN PUERTO RICO,,INTER AMERICAN UNIVERSITY/PUERTO RICO,CARMEN A 0QUENDO,1991,
VIBRIO SPECIES IN MARKET LEVEL SEAFOOD AND COASTAL WATERS IN PUERTO RICO,,INTER AMERICAN UNIVERSITY/PUERTO RICO,CARMEN A 0QUENDO,1992,
COLONIC MOTOR SENSORY FUNCTION DURING HYPERVENTILATION,,MAYO CLINIC ROCHESTER,M  2CAMILLERI,1995,
CLINICAL STUDIES--DETECTION OF THE PRETHROMBOTIC STATE,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,KENNETH A ?BAUER,1991,
CLINICAL STUDIES--DETECTION OF THE PRETHROMBOTIC STATE,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,KENNETH A ?BAUER,1990,
HEALTH CAREERS OPPORTUNITY PROGRAM,,CHARLES R. DREW UNIVERSITY OF MED & SCI,HARRY  ?DOUGLAS,1993,
HEALTH CAREERS OPPORTUNITY PROGRAM,,CHARLES R. DREW UNIVERSITY OF MED & SCI,HARRY E III ?DOUGLAS,1994,
ANTI-THYMOCYTE GLOBULIN IN PROGRESSIVE SYSTEMIC SCLEROSIS,,MAYO CLINIC ROCHESTER,J J ?GORONZY,1993,
Structural and Cellular Biology of GPH Receptors,,WADSWORTH CENTER,DIAS JAMES A,2008,240467.0
Structural and Cellular Biology of GPH Receptors,,WADSWORTH CENTER,DIAS JAMES A,2009,244487.0
Structural and Cellular Biology of GPH Receptors,,WADSWORTH CENTER,DIAS JAMES A,2010,244674.0
The mechanistic study on irisin-mediated immune response and its role in adipose tissue dynamics,,DANA-FARBER CANCER INST,Mu  A,2026,150722.0
Elucidating novel molecular mechanisms of irisin-mediated effects via integrin,,DANA-FARBER CANCER INST,Mu  A,2023,71792.0
Elucidating novel molecular mechanisms of irisin-mediated effects via integrin,,DANA-FARBER CANCER INST,Mu  A,2022,67582.0
Elucidating novel molecular mechanisms of irisin-mediated effects via integrin,,DANA-FARBER CANCER INST,Mu  A,2024,56728.0
The mechanistic study on irisin-mediated immune response and its role in adipose tissue dynamics,,DANA-FARBER CANCER INST,Mu  A,2025,152454.0
EVALUATE EARLY VITRECTOMY IN DIABETIC RETINOPATHY,,MEDICAL COLLEGE OF WISCONSIN,T M AABERG,1985,0.0
EVALUATE EARLY VITRECTOMY IN DIABETIC RETINOPATHY,,MEDICAL COLLEGE OF WISCONSIN,T M AABERG,1985,12696.0
NEUROEXCITATORY CONTROL OF LUTEINIZING HORMONE RELEASING HORMONE SECRETION,,,JOHN W AACH,1996,
AIDS-RELATED CHANGES IN THE BLOOD-BRAIN BARRIER,,,JOHN W AACH,1996,
APOLIPOPROTEIN E PLAQUES & ASTROGLIOSIS IN TEMPORAL CORTEX,,,JOHN W AACH,1996,
PHOTOPERIOD & NEUROENDOCRINE CONTROL OF REPRODUCTIVE AXIS,,,JOHN W AACH,1996,
MATURATION & AGING OF MALE REPRODUCTIVE AXIS,,,JOHN W AACH,1996,
Pyroptotic Macrophages Traps Against Shigella Infection,,UNIV OF ARKANSAS FOR MED SCIS,Youssef  Aachoui,2023,229500.0
Mechanisms of Inflammasome Defense against Cytosol-invasive Bacteria,,UNIV OF ARKANSAS FOR MED SCIS,Youssef  Aachoui,2018,161175.0
Pyroptotic Macrophages Traps Against Shigella Infection,,UNIV OF ARKANSAS FOR MED SCIS,Youssef  Aachoui,2024,191250.0
