organization_name,country,type,website
Massachusetts Institute of Technology,USA,University,https://web.mit.edu
Stanford University,USA,University,https://www.stanford.edu
Indian Institute of Science,India,University,https://iisc.ac.in
Anna University,India,University,https://www.annauniv.edu
OpenAI,USA,Research Lab,https://openai.com
Google Research,USA,Research Lab,https://research.google
Microsoft Research,USA,Research Lab,https://www.microsoft.com/research
TCS Research,India,Research Lab,https://www.tcs.com
IIT Madras,India,University,https://www.iitm.ac.in
NVIDIA Research,USA,Research Lab,https://research.nvidia.com
