organization_name,country,type,city,homepage_url,works_count,cited_by_count
National Institute for Fusion Science,JP,facility,Toki,https://www.nifs.ac.jp,39727791,2345370
Centre National de la Recherche Scientifique,FR,government,Paris,https://www.cnrs.fr,1553547,174384492
Chinese Academy of Sciences,CN,government,Beijing,https://www.cas.cn,999072,113590904
University of Michigan,US,education,Ann Arbor,https://www.umich.edu,982294,66404268
Pacific Northwest National Laboratory,US,facility,Richland,http://www.pnnl.gov/,823459,7747303
Environmental Molecular Sciences Laboratory,US,facility,Richland,https://www.emsl.pnnl.gov,729942,1327781
Harvard University,US,education,Cambridge,https://www.harvard.edu,704018,143952100
University of Oxford,GB,education,Oxford,https://www.ox.ac.uk,595350,63481881
Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,DE,facility,Braunschweig,https://www.dsmz.de/,591297,491051
University College London,GB,education,London,http://www.ucl.ac.uk/,583087,65779892
University of Toronto,CA,education,Toronto,https://www.utoronto.ca,553930,58615111
Stanford University,US,education,Stanford,https://www.stanford.edu,528279,87451954
University of Washington,US,education,Seattle,https://www.washington.edu,521857,94951274
The University of Tokyo,JP,education,Tokyo,https://www.u-tokyo.ac.jp,508159,46787117
Johns Hopkins University,US,education,Baltimore,https://www.jhu.edu/,498008,76723169
Inserm,FR,government,Paris,https://www.inserm.fr,486317,76395055
Universidade de São Paulo,BR,education,São Paulo,https://www5.usp.br,474131,22740583
Cornell University,US,education,Ithaca,https://www.cornell.edu,472548,56587649
"University of California, Berkeley",US,education,Berkeley,https://www.berkeley.edu,450823,56370727
University of Cambridge,GB,education,Cambridge,https://www.cam.ac.uk,447911,53821365
"University of California, Los Angeles",US,education,Los Angeles,https://www.ucla.edu,415301,51834662
Yale University,US,education,New Haven,https://www.yale.edu,410957,51905473
Sorbonne Université,FR,education,Paris,https://www.sorbonne-universite.fr,396106,36791438
Peking University,CN,education,Beijing,https://www.pku.edu.cn,394067,32282882
Imperial College London,GB,education,London,https://www.imperial.ac.uk,387396,42109070
Columbia University,US,education,New York,https://www.columbia.edu,387006,47447981
University of Chinese Academy of Sciences,CN,education,Beijing,https://www.ucas.ac.cn,384697,30453205
University of Pennsylvania,US,education,Philadelphia,https://www.upenn.edu,381274,54895634
University of Milan,IT,education,Milan,https://www.unimi.it,378908,18549988
Tsinghua University,CN,education,Beijing,https://www.tsinghua.edu.cn,376649,33405366
University of British Columbia,CA,education,Vancouver,https://www.ubc.ca/,374948,32396043
University of Wisconsin–Madison,US,education,Madison,http://www.wisc.edu/,374723,43268106
The Ohio State University,US,education,Columbus,http://www.osu.edu/,371774,29161773
Zhejiang University,CN,education,Hangzhou,https://www.zju.edu.cn,370767,29522602
Shanghai Jiao Tong University,CN,education,Shanghai,https://www.sjtu.edu.cn,366955,28122107
University of Florida,US,education,Gainesville,https://www.ufl.edu,361820,30684309
Université Paris Cité,FR,education,Paris,https://u-paris.fr/en,360939,40443958
Kyoto University,JP,education,Kyoto,http://www.kyoto-u.ac.jp/en,359337,30242719
University of California San Diego,US,education,San Diego,https://ucsd.edu,355659,50660392
The University of Texas at Austin,US,education,Austin,http://www.utexas.edu/,355484,23909344
University of North Carolina at Chapel Hill,US,education,Chapel Hill,https://www.unc.edu,354825,34837517
Massachusetts Institute of Technology,US,education,Cambridge,https://web.mit.edu,348171,64828785
The University of Melbourne,AU,education,Melbourne,https://www.unimelb.edu.au,345056,30804922
University of Minnesota,US,education,Minneapolis,https://twin-cities.umn.edu,336910,36841491
Pennsylvania State University,US,education,State College,https://www.psu.edu,335116,27586539
The University of Sydney,AU,education,Sydney,https://www.sydney.edu.au,334397,26953302
University of Cape Town,ZA,education,Rondebosch,https://uct.ac.za,333371,7542420
University of Illinois Urbana-Champaign,US,education,Urbana,https://illinois.edu,332385,32469877
Heidelberg University,DE,education,Heidelberg,https://www.uni-heidelberg.de,318927,42678021
University of Manchester,GB,education,Manchester,http://www.manchester.ac.uk/,314397,28928493
KU Leuven,BE,education,Leuven,https://www.kuleuven.be,309364,29046987
University of Chicago,US,education,Chicago,https://www.uchicago.edu,309299,34694409
Sun Yat-sen University,CN,education,Guangzhou,https://www.sysu.edu.cn,303692,25314245
"University of California, Davis",US,education,Davis,https://www.ucdavis.edu,300016,29676386
"University of California, San Francisco",US,education,San Francisco,https://www.ucsf.edu/,298021,49215559
McGill University,CA,education,Montreal,https://www.mcgill.ca,296965,27391298
University of Pittsburgh,US,education,Pittsburgh,http://www.pitt.edu/,296645,33961227
Max Planck Society,DE,nonprofit,Munich,http://www.mpg.de/en,291384,21402503
The University of Osaka,JP,education,Osaka,https://www.osaka-u.ac.jp,289147,25697759
University of Copenhagen,DK,education,Copenhagen,https://www.ku.dk,288984,27081072
Purdue University West Lafayette,US,education,West Lafayette,http://www.purdue.edu/,286275,20484825
Monash University,AU,education,Melbourne,https://www.monash.edu,283351,21685128
University of Edinburgh,GB,education,Edinburgh,https://www.ed.ac.uk,281716,26147137
National University of Singapore,SG,education,Singapore,http://www.nus.edu.sg/,279431,24968185
Tohoku University,JP,education,Sendai,http://www.tohoku.ac.jp/en/,278485,18880281
