title,publication_year,doi,type,cited_by_count
Radiation Resistant Camera System for Monitoring Deuterium Plasma Discharges in the Large Helical Device,2020,https://doi.org/10.1585/pfr.15.2402039,article,801217
PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,1951,https://doi.org/10.1016/s0021-9258(19)52451-6,article,318414
Cleavage of Structural Proteins during the Assembly of the Head of Bacteriophage T4,1970,https://doi.org/10.1038/227680a0,article,251686
A Rapid and Sensitive Method for the Quantitation of Microgram Quantities of Protein Utilizing the Principle of Protein-Dye Binding,1976,https://doi.org/10.1006/abio.1976.9999,article,225381
Deep Residual Learning for Image Recognition,2016,https://doi.org/10.1109/cvpr.2016.90,article,222476
Generalized Gradient Approximation Made Simple,1996,https://doi.org/10.1103/physrevlett.77.3865,article,212063
A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,1976,https://doi.org/10.1016/0003-2697(76)90527-3,article,211321
Using thematic analysis in psychology,2006,https://doi.org/10.1191/1478088706qp063oa,article,184822
Analysis of Relative Gene Expression Data Using Real-Time Quantitative PCR and the 2−ΔΔCT Method,2001,https://doi.org/10.1006/meth.2001.1262,article,181912
Molecular Cloning: A Laboratory Manual,1989,,book,129998
Random Forests,2001,https://doi.org/10.1023/a:1010933404324,article,126858
Efficient iterative schemes for<i>ab initio</i>total-energy calculations using a plane-wave basis set,1996,https://doi.org/10.1103/physrevb.54.11169,article,120863
Diagnostic and Statistical Manual of Mental Disorders,2013,https://doi.org/10.1176/appi.books.9780890425596,book,114347
Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries,2021,https://doi.org/10.3322/caac.21660,article,112756
Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,1995,https://doi.org/10.1111/j.2517-6161.1995.tb02031.x,article,109046
Cutoff criteria for fit indexes in covariance structure analysis: Conventional criteria versus new alternatives,1999,https://doi.org/10.1080/10705519909540118,article,105763
Density-functional thermochemistry. III. The role of exact exchange,1993,https://doi.org/10.1063/1.464913,article,102909
Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2,2014,https://doi.org/10.1186/s13059-014-0550-8,article,100934
Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,1988,https://doi.org/10.1103/physrevb.37.785,article,100179
Long Short-Term Memory,1997,https://doi.org/10.1162/neco.1997.9.8.1735,article,98425
The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,2021,https://doi.org/10.1136/bmj.n71,article,96206
Basic local alignment search tool,1990,https://doi.org/10.1016/s0022-2836(05)80360-2,article,94651
Projector augmented-wave method,1994,https://doi.org/10.1103/physrevb.50.17953,article,91049
U-Net: Convolutional Networks for Biomedical Image Segmentation,2015,https://doi.org/10.1007/978-3-319-24574-4_28,book-chapter,89135
Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,2018,https://doi.org/10.3322/caac.21492,article,87783
A short history of<i>SHELX</i>,2007,https://doi.org/10.1107/s0108767307043930,article,87480
“Mini-mental state”,1975,https://doi.org/10.1016/0022-3956(75)90026-6,article,86940
Molecular cloning: A laboratory manual,1990,https://doi.org/10.1016/0003-2697(90)90595-z,article,86161
