funding_id,funding_title,funding_agency,funding_type,research_domain,keywords,eligibility,funding_amount,currency,application_deadline,duration,country,description,application_url,status,created_at
US-NIH-2026-13278,Analyzing Explainable Ai to Improve Social Well-being,National Institutes of Health,Grant,Artificial Intelligence,"artificial intelligence, nih, deep learning, ethics, autonomous agents","Academic institutions, non-profit research organizations, and small businesses.",259000.0,USD,2027-05-26,60 months,US,"This program supports analyzing research into explainable AI to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Artificial Intelligence.",https://www.nih.gov/funding/grants/us-nih-2026-13278,OPEN,2026-06-07
US-NIH-2026-38657,Development of Ethics for Global Scale Applications,National Institutes of Health,Contract,Artificial Intelligence,"artificial intelligence, nih, autonomous agents, explainable AI, generative AI",Open to all international organizations and researchers.,457000.0,USD,2027-02-25,60 months,US,"This program supports development of research into ethics for global scale applications. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Artificial Intelligence.",https://www.nih.gov/funding/grants/us-nih-2026-38657,OPEN,2026-07-06
US-NSF-2026-30926,Novel Approaches to Neural Networks in Resource-Constrained Environments,National Science Foundation,Contract,Artificial Intelligence,"artificial intelligence, nsf, deep learning, generative AI, autonomous agents","Academic institutions, non-profit research organizations, and small businesses.",1613000.0,USD,2026-09-01,36 months,US,"This program supports novel approaches to research into neural networks in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Science Foundation (NSF) aims to foster innovation in the field of Artificial Intelligence.",https://www.nsf.gov/funding/grants/us-nsf-2026-30926,OPEN,2026-06-03
GB-UKRI-2026-89131,Analyzing Deep Learning using Predictive Analytics,UK Research and Innovation,Contract,Artificial Intelligence,"artificial intelligence, ukri, deep learning, ethics, neural networks",Open to all international organizations and researchers.,1938000.0,GBP,2026-07-16,48 months,GB,"This program supports analyzing research into deep learning using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Artificial Intelligence.",https://www.ukri.gov/funding/grants/gb-ukri-2026-89131,OPEN,2026-02-25
EU-ERC-2026-19116,Research on Generative Ai to Improve Social Well-being,European Research Council,Fellowship,Artificial Intelligence,"artificial intelligence, erc, autonomous agents, neural networks, generative AI",Consortia of higher education institutions and private industry partners.,1824000.0,EUR,2026-06-23,12 months,EU,"This program supports research on research into generative AI to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Artificial Intelligence.",https://www.erc.gov/funding/grants/eu-erc-2026-19116,CLOSED,2026-04-29
GB-UKRI-2026-56566,Development of Generative Ai in Resource-Constrained Environments,UK Research and Innovation,Cooperative Agreement,Artificial Intelligence,"artificial intelligence, ukri, ethics, explainable AI, generative AI","Ph.D. holders, early-career researchers, and university research groups.",1377000.0,GBP,2027-04-28,12 months,GB,"This program supports development of research into generative AI in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Artificial Intelligence.",https://www.ukri.gov/funding/grants/gb-ukri-2026-56566,OPEN,2026-01-14
CA-CIHR-2026-45382,Foundational Studies in Explainable Ai with Adaptive Feedback,Canadian Institutes of Health Research,Fellowship,Artificial Intelligence,"artificial intelligence, cihr, neural networks, autonomous agents, generative AI","Academic institutions, non-profit research organizations, and small businesses.",1733000.0,CAD,2026-09-08,12 months,CA,"This program supports foundational studies in research into explainable AI with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Artificial Intelligence.",https://www.cihr.gov/funding/grants/ca-cihr-2026-45382,OPEN,2026-06-28
GB-UKRI-2026-37869,Strategic Innovation in Autonomous Agents using Predictive Analytics,UK Research and Innovation,Cooperative Agreement,Artificial Intelligence,"artificial intelligence, ukri, generative AI, ethics, neural networks",Open to all international organizations and researchers.,335000.0,GBP,2026-09-26,24 months,GB,"This program supports strategic innovation in research into autonomous agents using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Artificial Intelligence.",https://www.ukri.gov/funding/grants/gb-ukri-2026-37869,OPEN,2026-06-06
CA-CIHR-2026-57447,Development of Explainable Ai in High-Risk Environments,Canadian Institutes of Health Research,Grant,Artificial Intelligence,"artificial intelligence, cihr, explainable AI, generative AI, autonomous agents",Open to all international organizations and researchers.,1813000.0,CAD,2026-06-29,12 months,CA,"This program supports development of research into explainable AI in high-risk environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Artificial Intelligence.",https://www.cihr.gov/funding/grants/ca-cihr-2026-57447,CLOSED,2026-03-08
CA-CIHR-2026-60019,Engineering Next-Generation Autonomous Agents in High-Risk Environments,Canadian Institutes of Health Research,Grant,Artificial Intelligence,"artificial intelligence, cihr, generative AI, deep learning, neural networks",Consortia of higher education institutions and private industry partners.,1812000.0,CAD,2027-02-21,12 months,CA,"This program supports engineering next-generation research into autonomous agents in high-risk environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Artificial Intelligence.",https://www.cihr.gov/funding/grants/ca-cihr-2026-60019,OPEN,2026-05-09
