researcher_name,orcid,institution,country,works_count,cited_by_count
T. Kobayashi,https://orcid.org/0000-0001-5669-1937,Kyushu University,JP,2032466,3617
Mikirou Yoshinuma,,National Institute for Fusion Science,JP,1898733,192
M. Emoto,https://orcid.org/0000-0002-0441-6340,National Institutes of Natural Sciences,JP,1841449,3306
K. Ida,https://orcid.org/0000-0002-0585-4561,National Institutes of Natural Sciences,JP,1074120,16126
H. Funaba,https://orcid.org/0000-0003-2217-6018,National Institutes of Natural Sciences,JP,1065846,4957
Finnish Museum of Natural History,,,,758906,0
Tokihiko TOKUZAWA,,National Institute for Fusion Science,JP,718072,0
T. Tokuzawa,https://orcid.org/0000-0001-5473-2109,Kyushu University,JP,711539,6710
Royal Botanic Garden Edinburgh,,,,652744,0
M. Yoshinuma,https://orcid.org/0000-0002-5113-9710,National Institutes of Natural Sciences,JP,636879,4354
Chihiro SUZUKI,,National Institute for Fusion Science,JP,605280,0
Tokihiko TOKUZAWA,,National Institute for Fusion Science,JP,509899,0
Tokihiko TOKUZAWA,,National Institute for Fusion Science,JP,471557,0
Tokihiko TOKUZAWA,,National Institute for Fusion Science,JP,460131,0
I. Yamada,https://orcid.org/0000-0002-7023-1539,"The Graduate University for Advanced Studies, SOKENDAI",JP,445110,7254
M. Yoshida,,National Institute for Fusion Science,JP,436428,0
C. Suzuki,,National Institute for Fusion Science,JP,435992,161
A Boyle,,University of Michigan,US,434619,0
Mitsutaka ISOBE,https://orcid.org/0000-0002-3572-1882,National Institute for Fusion Science,JP,429588,0
Kunihiro OGAWA,https://orcid.org/0000-0003-4555-1837,National Institute for Fusion Science,JP,429283,0
Katsumi IDA,,National Institute for Fusion Science,JP,428135,0
Masayuki YOKOYAMA,,National Institute for Fusion Science,JP,400132,0
H. Nuga,https://orcid.org/0000-0003-3293-488X,National Institutes of Natural Sciences,JP,390457,663
Joshua Adkins,https://orcid.org/0000-0003-0399-0700,Pacific Northwest National Laboratory,US,388036,0
R. Yasuhara,,National Institute for Fusion Science,JP,383774,182
Mary L. Berbee,https://orcid.org/0000-0002-9850-1174,University of British Columbia,CA,370739,9614
Julia Pawłowska,https://orcid.org/0000-0003-4914-5182,Princess Nourah bint Abdulrahman University,SA,370698,5853
Royal Botanic Garden Edinburgh,,,,370582,0
A.F.S. Taylor,,James Hutton Institute,GB,370568,1
Kunihiro OGAWA,,National Institute for Fusion Science,JP,367029,0
Masaki OSAKABE,,National Institute for Fusion Science,JP,367029,0
Mitsutaka ISOBE,,National Institute for Fusion Science,JP,367029,0
Terry Law,https://orcid.org/0000-0001-8278-6729,Environmental Molecular Sciences Laboratory,US,362570,0
Masayuki YOKOYAMA,,National Institute for Fusion Science,JP,355205,0
Katsumi Ida,,National Institute for Fusion Science,JP,339595,0
S. Komada,,National Institute for Fusion Science,JP,327970,395
